task_type,complexity,team_size,resource_cpu,resource_person,has_dependencies,estimated_duration,actual_duration
deploy,5,1,4.0,2.3,1,78.4,134.0
design,7,4,0.5,0.9,1,121.1,380.5
dev,1,2,1.1,0.5,1,115.2,145.3
deploy,3,3,1.8,2.7,1,62.4,142.5
deploy,2,1,3.8,2.3,1,105.2,184.1
design,9,5,0.7,2.6,0,20.7,53.3
dev,10,2,0.5,3.3,1,76.7,193.6
dev,6,4,0.7,2.8,0,206.0,508.4
deploy,10,2,0.8,1.1,0,78.3,186.0
test,3,1,0.6,1.8,1,206.4,262.8
deploy,8,4,2.2,3.7,1,137.6,417.0
deploy,8,3,2.5,3.2,1,221.2,625.2
deploy,2,2,1.5,2.4,0,147.9,240.5
deploy,6,1,1.9,1.4,1,17.1,37.7
design,7,5,0.8,1.6,1,172.1,434.4
dev,2,4,1.7,3.1,1,20.8,43.8
design,10,2,2.3,3.5,1,118.1,403.3
design,2,2,3.1,2.8,1,233.1,385.3
design,10,3,0.5,3.3,0,49.6,129.9
deploy,1,3,2.1,3.2,0,103.6,109.7
test,8,5,1.5,1.0,0,185.2,428.9
dev,1,5,3.5,2.0,1,221.7,413.6
test,9,1,3.0,1.0,1,171.0,397.3
design,6,1,2.6,1.3,1,72.0,118.0
design,7,5,1.5,3.5,0,171.9,626.8
test,10,5,3.7,2.2,1,81.2,208.4
test,7,4,0.7,2.4,1,182.4,640.6
test,10,3,0.9,1.1,1,239.0,680.6
design,3,1,1.9,1.6,0,183.1,260.6
design,2,3,0.9,1.3,1,217.1,328.5
dev,9,3,3.8,1.2,0,10.5,28.8
dev,8,5,3.3,2.7,1,182.2,418.6
design,10,4,1.4,1.4,0,209.1,413.0
test,7,2,2.6,2.7,0,19.7,50.4
test,9,4,3.9,0.7,0,219.2,497.2
dev,4,4,3.6,1.0,1,71.6,168.0
design,4,3,2.6,1.5,1,169.7,285.3
dev,1,4,3.7,2.6,0,202.1,310.5
dev,8,1,4.0,2.9,0,169.0,439.8
deploy,3,3,3.1,2.0,1,32.1,54.6
deploy,7,1,0.7,2.1,1,153.1,243.8
deploy,2,2,1.9,3.0,0,141.9,247.0
test,2,3,3.4,0.6,1,226.1,433.3
design,7,2,1.3,1.7,1,107.0,235.6
design,6,3,3.4,3.4,1,87.1,196.6
design,3,5,0.9,2.6,1,190.0,321.9
design,9,4,0.7,1.7,0,109.0,341.0
deploy,10,5,1.8,3.7,1,165.1,499.5
test,6,2,0.6,3.2,1,165.1,287.9
test,10,4,3.9,1.4,0,223.1,628.1
deploy,10,3,3.4,2.8,0,153.7,347.5
test,6,4,3.3,2.6,1,130.5,270.6
deploy,1,1,2.7,1.9,1,43.3,55.3
design,4,4,1.3,1.8,1,37.8,80.8
deploy,10,1,2.3,1.7,1,47.0,99.9
design,6,4,2.6,2.7,0,51.2,131.9
design,6,1,2.3,2.0,0,163.1,327.6
dev,5,2,1.4,3.4,0,187.8,318.1
deploy,1,5,2.3,2.8,1,137.2,198.6
dev,8,3,2.2,0.7,1,209.0,548.4
deploy,5,4,4.0,2.7,1,247.9,641.9
deploy,5,5,3.6,1.4,1,206.8,549.9
dev,7,3,2.1,2.6,0,176.8,444.8
dev,4,3,2.7,2.9,0,137.8,223.3
deploy,6,1,3.1,1.3,1,117.7,138.5
test,4,2,0.6,2.1,0,30.3,59.6
design,3,2,3.6,1.2,1,105.8,180.7
dev,7,5,3.5,0.7,1,228.4,691.1
design,8,2,2.1,1.8,0,203.9,559.7
test,4,4,1.9,1.8,1,61.9,178.3
test,2,2,1.5,4.0,1,122.0,175.9
test,10,5,2.2,2.1,0,206.0,601.0
dev,3,2,0.7,1.7,1,26.2,55.3
test,1,4,3.5,2.5,1,103.0,143.7
dev,8,1,0.6,0.8,0,214.4,406.5
test,3,5,1.7,3.9,1,106.9,198.2
design,10,1,3.8,2.7,0,28.6,66.4
design,7,1,3.1,3.1,1,140.2,304.1
deploy,10,1,1.5,1.1,0,216.8,460.5
design,5,3,1.4,1.9,0,151.7,244.9
deploy,10,3,0.5,2.0,0,64.3,187.3
design,5,1,2.9,3.4,1,102.2,239.3
dev,7,5,0.7,0.5,0,118.0,345.0
design,9,4,2.4,1.6,0,149.0,356.6
deploy,5,4,3.9,3.9,0,192.2,430.2
deploy,1,2,0.9,2.2,0,33.7,43.8
test,10,5,3.6,1.8,0,223.5,584.5
dev,10,3,4.0,0.9,1,13.0,43.1
design,1,1,0.7,3.9,1,98.8,122.4
test,2,2,3.6,0.6,1,16.6,25.0
design,6,4,2.3,3.1,1,104.3,203.0
design,9,3,3.7,3.2,1,136.2,357.7
test,8,3,2.5,1.4,1,132.8,366.7
test,5,1,2.8,2.9,1,49.8,120.0
test,1,4,2.4,0.8,0,165.0,217.0
test,7,5,3.5,1.4,1,20.7,48.1
test,5,3,3.1,3.3,0,192.9,446.0
design,6,1,2.3,3.5,0,237.2,399.7
test,7,5,3.5,2.6,1,91.5,185.7
dev,3,4,1.4,2.3,0,134.1,230.7
deploy,10,3,1.1,1.1,0,100.9,249.2
test,3,5,1.1,0.7,0,11.6,27.6
test,5,5,1.7,0.9,0,102.6,228.6
design,6,5,1.3,1.3,1,200.0,503.0
test,9,3,3.8,1.7,1,153.0,372.0
test,5,3,0.9,1.8,1,34.3,78.2
test,1,2,2.9,1.7,1,213.3,374.9
design,4,4,1.2,1.3,1,137.5,303.8
test,5,1,3.6,2.3,1,212.0,360.9
deploy,10,5,3.9,3.4,1,149.3,530.7
design,10,2,2.1,1.5,1,144.3,405.9
deploy,5,1,3.6,3.8,1,35.3,73.5
design,7,2,0.5,3.6,1,50.2,112.6
test,4,3,3.4,1.1,0,243.3,400.8
deploy,1,5,1.3,3.3,1,64.8,101.7
design,5,1,3.7,2.5,0,244.6,473.5
dev,7,1,0.5,2.5,0,137.7,253.7
test,10,1,2.4,1.9,0,42.6,92.5
design,10,1,3.1,2.3,0,33.8,67.7
dev,6,1,1.4,1.9,1,60.1,134.6
design,5,2,1.2,2.4,0,232.2,435.6
dev,4,5,0.8,2.7,1,109.4,225.8
test,2,3,1.6,2.9,1,104.9,157.7
deploy,4,3,2.5,2.4,0,85.2,190.7
dev,10,3,0.9,3.0,1,45.3,97.1
design,10,3,1.8,1.0,0,127.1,354.4
test,3,2,0.5,1.2,0,41.2,74.9
dev,10,4,3.4,3.4,1,210.5,324.9
design,1,5,0.9,1.6,1,98.9,185.3
design,8,1,1.5,0.6,0,100.0,200.9
design,5,4,0.6,1.0,1,123.8,293.3
dev,4,3,2.0,1.3,1,116.6,222.8
dev,8,4,3.4,3.9,1,248.8,807.6
dev,7,5,1.9,2.5,0,140.9,355.4
deploy,2,1,1.1,3.8,0,31.2,41.8
dev,1,1,3.1,2.5,1,155.7,183.9
dev,4,5,3.3,2.2,1,46.4,131.7
dev,8,5,1.1,1.6,1,17.4,51.1
deploy,2,3,3.2,2.6,1,243.0,549.3
dev,3,1,3.8,1.0,1,195.6,418.0
design,1,4,1.1,3.6,0,245.2,249.7
dev,1,2,3.2,3.4,1,124.7,162.2
design,3,2,3.0,1.6,0,137.7,177.1
design,5,5,2.2,3.8,1,50.4,119.7
design,3,3,0.7,3.4,0,69.3,114.3
deploy,1,2,0.8,2.8,1,211.3,315.3
deploy,1,1,3.5,0.9,0,95.5,131.3
deploy,8,5,4.0,2.2,1,208.4,747.5
dev,10,4,2.9,2.3,0,180.2,562.9
design,2,5,2.1,1.3,0,52.5,77.5
deploy,3,4,2.8,0.8,0,131.8,196.2
deploy,2,5,2.6,3.2,0,172.6,278.3
dev,3,5,1.8,0.9,0,66.4,124.9
deploy,7,5,0.7,2.6,0,209.4,487.1
dev,1,4,3.4,3.8,1,140.8,179.5
test,10,4,1.8,3.6,0,49.7,149.5
deploy,8,5,3.4,1.5,1,149.9,413.4
test,10,2,1.4,3.5,1,249.9,663.2
dev,10,3,0.5,0.5,1,46.1,136.5
design,10,3,1.1,0.6,1,206.0,592.9
deploy,2,3,2.1,2.6,1,59.8,95.1
dev,3,4,3.8,1.8,0,197.8,269.5
design,9,4,0.9,1.9,0,186.3,472.4
design,7,2,3.5,2.5,0,82.1,187.0
test,4,3,2.3,1.2,1,88.2,184.2
dev,10,3,3.4,1.2,0,200.2,593.6
design,5,5,1.5,2.2,0,120.7,223.6
deploy,2,4,3.4,3.1,0,185.4,230.4
deploy,8,3,3.2,2.7,0,45.5,101.4
test,4,2,1.3,1.5,0,214.6,322.9
design,9,2,1.0,2.0,1,180.6,446.8
dev,5,3,3.5,1.1,0,227.7,443.6
deploy,9,4,3.9,0.8,1,41.8,114.6
design,4,2,0.6,3.2,1,152.3,235.9
design,10,5,3.1,1.4,1,153.8,463.4
test,5,2,3.7,1.1,1,94.8,205.3
deploy,9,1,3.5,2.9,1,120.0,334.9
deploy,8,1,3.9,2.7,0,19.1,43.6
dev,3,4,3.2,2.7,0,189.0,339.0
deploy,1,3,2.0,1.3,0,141.8,182.7
dev,3,4,1.6,1.3,1,23.9,49.2
deploy,4,4,1.6,1.3,0,173.4,316.2
test,2,4,3.0,1.1,0,122.0,190.8
deploy,1,4,3.1,2.8,1,18.3,25.1
dev,7,5,1.2,3.5,1,242.7,672.0
dev,8,5,3.5,3.0,1,237.8,736.4
test,7,2,3.0,3.3,1,133.1,331.6
deploy,5,1,2.5,1.9,0,32.5,44.5
deploy,1,4,2.2,2.8,1,191.1,309.6
test,7,2,2.4,1.7,1,128.1,237.8
deploy,7,1,1.1,2.3,0,82.6,165.3
deploy,9,3,1.2,2.2,0,127.9,280.9
dev,3,5,0.8,1.1,1,135.4,345.7
deploy,9,1,1.0,1.9,0,145.1,325.6
deploy,1,3,2.1,3.9,1,115.9,197.3
test,1,1,2.4,1.4,1,155.4,279.3
test,4,5,0.6,1.0,0,230.5,389.1
design,9,5,3.3,2.0,0,96.9,279.1
dev,6,2,1.5,3.3,1,184.2,335.5
deploy,3,4,3.7,2.5,1,224.7,458.3
deploy,1,1,3.9,2.9,1,119.4,206.2
design,4,1,1.1,1.2,0,116.4,165.4
deploy,9,3,2.1,2.7,1,154.5,378.1
dev,3,5,0.5,1.6,1,151.9,304.6
design,9,1,2.6,3.4,1,203.6,674.6
dev,7,5,2.6,2.7,1,124.4,381.8
design,4,1,1.4,1.2,1,249.1,388.4
design,3,2,2.5,0.7,0,24.3,45.1
test,10,4,1.3,0.6,1,10.8,25.5
dev,5,1,1.1,1.8,1,163.6,421.3
deploy,5,5,2.8,1.4,1,81.6,220.3
deploy,3,2,1.6,2.8,1,67.7,150.0
dev,9,1,2.6,2.2,0,84.9,140.9
deploy,4,3,2.0,1.4,0,71.5,128.0
deploy,5,4,3.9,1.0,0,17.4,33.8
dev,4,1,1.0,0.9,1,243.2,372.5
design,5,2,2.1,3.5,1,63.0,104.6
dev,7,3,2.9,1.4,0,186.2,435.0
design,9,2,1.9,2.8,0,193.0,489.9
deploy,7,2,3.9,3.3,0,233.0,573.8
deploy,5,3,3.0,2.6,1,17.3,34.7
deploy,10,2,2.8,3.5,1,219.3,608.2
test,10,3,3.1,1.9,0,136.5,280.9
design,7,1,3.8,3.8,0,161.8,388.5
test,10,3,3.7,1.0,0,164.7,432.0
test,5,3,3.0,0.9,1,206.8,497.7
dev,3,4,3.1,2.8,1,90.0,194.4
test,7,3,1.0,3.8,1,185.9,565.8
dev,2,3,0.9,3.3,0,136.9,175.3
dev,9,1,2.5,0.8,0,200.4,488.1
test,10,4,0.6,1.5,1,247.7,774.2
design,10,5,2.2,3.8,0,58.2,219.0
design,1,1,1.2,1.4,1,248.7,297.0
design,6,1,1.7,3.2,0,31.6,67.7
design,7,5,3.2,3.4,0,10.6,26.7
design,8,3,3.8,2.2,0,20.6,49.8
test,10,2,0.8,1.9,0,92.0,228.5
test,9,4,2.4,2.1,1,161.9,577.2
deploy,2,2,3.6,1.3,0,26.6,38.4
design,10,5,0.8,3.6,1,11.4,28.9
test,2,1,3.4,2.1,1,234.9,420.0
deploy,5,1,1.8,3.6,1,207.3,467.2
design,5,4,1.6,0.9,0,204.2,440.8
dev,6,1,3.9,4.0,1,222.3,387.2
deploy,3,1,1.2,2.1,1,178.0,252.0
test,8,4,2.9,0.7,1,35.1,70.5
dev,1,4,3.4,0.6,0,105.8,157.1
dev,6,5,0.6,3.1,0,183.6,327.4
dev,4,1,2.8,2.8,1,77.3,103.5
deploy,1,1,3.8,3.3,0,175.0,247.5
test,7,5,0.9,0.9,1,15.9,48.8
dev,9,3,3.6,0.6,1,83.5,223.9
design,4,3,2.6,2.3,0,141.8,242.7
dev,4,3,2.7,1.9,1,161.7,207.5
dev,6,5,2.6,2.1,0,148.5,377.7
deploy,3,1,1.5,4.0,0,177.5,229.3
deploy,6,5,3.8,3.9,1,11.5,31.0
test,7,5,3.8,3.8,0,34.2,51.3
design,10,3,2.7,3.2,0,218.5,650.4
deploy,10,2,3.2,1.7,1,173.6,436.4
dev,3,1,2.6,1.9,1,37.1,48.8
test,7,3,2.2,2.4,0,212.1,437.1
dev,3,2,2.8,3.4,0,68.1,94.5
dev,2,2,2.4,0.7,1,124.8,231.4
deploy,10,4,2.6,2.0,0,44.8,114.5
test,4,1,3.2,0.8,0,180.4,340.9
design,8,2,2.2,2.3,0,170.0,391.7
design,9,3,0.6,3.6,0,60.7,169.0
deploy,7,4,1.1,3.2,0,217.2,495.4
deploy,1,1,2.0,1.3,0,106.3,150.3
test,3,5,3.0,3.9,0,80.2,117.3
design,9,3,2.6,2.8,1,46.6,133.8
design,1,2,2.8,0.5,1,73.9,100.3
design,9,2,2.2,1.4,1,15.3,49.6
dev,8,3,2.7,1.4,1,150.0,488.7
design,1,2,1.7,0.7,1,212.1,306.0
dev,6,4,2.1,3.9,0,141.8,243.8
test,5,1,3.1,2.2,0,62.6,113.0
dev,6,4,3.6,3.6,0,18.1,29.0
test,10,2,2.0,1.6,0,61.5,188.5
design,5,5,0.7,0.9,1,109.9,244.2
design,6,1,1.1,2.2,0,192.3,349.0
test,5,1,0.6,0.9,0,55.1,83.9
deploy,5,3,2.8,2.2,1,182.7,343.0
test,4,3,1.7,3.7,0,218.1,423.0
deploy,3,5,2.4,2.3,0,118.9,205.2
dev,3,1,2.2,2.7,1,207.1,345.5
dev,4,5,0.8,1.0,0,143.1,233.9
dev,9,3,1.9,0.7,0,162.9,451.2
design,2,3,1.3,0.9,0,136.3,228.1
dev,9,1,2.0,2.6,0,121.2,258.8
deploy,1,4,1.2,0.8,0,66.3,109.6
dev,1,2,3.4,1.8,1,82.8,117.6
test,5,3,1.1,2.4,1,79.6,193.0
test,6,3,3.9,1.9,1,145.2,256.4
design,6,4,2.0,1.1,1,38.8,100.2
test,3,4,3.5,1.5,1,230.0,427.9
deploy,7,5,2.7,3.7,1,183.0,515.1
dev,9,5,3.1,2.9,0,106.3,292.2
design,10,2,3.2,2.2,1,48.1,138.9
dev,8,2,2.3,0.5,1,221.7,611.4
dev,6,1,2.4,4.0,0,207.7,346.6
deploy,8,5,2.3,2.9,0,183.2,506.6
test,5,3,2.6,1.6,1,75.2,193.5
test,8,5,0.6,3.6,0,106.6,214.2
dev,10,3,1.9,1.4,1,34.7,91.5
design,4,4,2.6,2.4,0,55.4,90.4
test,10,5,2.6,2.7,1,197.9,544.3
design,8,4,3.3,1.3,0,181.6,409.9
test,10,2,2.8,3.9,0,152.4,433.7
design,2,2,4.0,3.1,1,225.0,437.4
deploy,5,1,1.5,2.5,1,150.0,297.2
design,9,5,1.8,1.1,1,122.1,361.2
deploy,4,4,1.8,0.7,1,91.7,216.8
deploy,6,3,2.1,1.6,1,235.7,355.1
design,1,2,3.4,3.1,0,29.9,31.6
deploy,9,2,1.3,1.4,1,233.4,407.5
dev,1,3,3.2,2.4,1,208.4,266.1
deploy,5,4,1.9,3.0,0,41.2,72.3
test,4,4,2.6,0.9,0,145.6,326.4
design,3,5,2.7,2.9,1,218.0,259.7
dev,6,5,1.8,0.8,0,147.2,308.6
design,2,1,2.3,3.9,0,227.7,327.1
test,3,2,1.9,2.2,1,236.3,439.4
test,5,5,0.7,1.0,0,111.4,282.5
test,9,4,2.0,1.7,0,100.6,265.7
deploy,2,3,0.8,1.9,1,234.7,417.1
deploy,10,4,1.9,3.2,1,172.0,390.8
design,8,2,2.6,3.1,0,37.8,70.7
design,2,4,2.5,2.6,0,20.2,22.8
dev,5,1,2.8,0.9,1,145.5,308.2
dev,7,2,0.8,1.0,0,233.2,505.7
design,8,3,2.8,0.8,0,212.6,514.8
deploy,1,1,1.6,2.5,0,172.2,177.4
test,6,2,1.9,3.6,1,43.4,82.1
design,1,3,3.5,2.0,0,71.0,96.8
dev,2,1,0.5,1.1,0,220.1,260.3
deploy,1,1,2.6,2.5,1,53.9,62.3
design,5,2,2.6,3.3,0,76.8,127.1
design,10,5,1.9,3.1,0,41.1,105.9
deploy,9,1,1.3,3.6,1,172.3,380.1
design,6,1,1.3,1.5,1,236.6,404.9
deploy,1,3,3.6,1.2,1,74.6,121.0
test,1,4,2.0,3.6,1,124.1,244.5
deploy,2,2,1.7,2.8,0,162.2,223.9
deploy,9,2,2.1,1.6,0,249.9,601.6
deploy,3,5,2.8,3.1,1,35.2,77.3
design,1,5,1.0,3.4,1,129.7,229.1
design,5,2,2.1,2.7,0,102.4,160.2
deploy,7,5,2.6,2.9,1,217.8,753.7
design,6,3,3.8,1.8,0,124.2,223.4
dev,1,2,1.4,2.4,1,36.6,57.9
dev,5,5,1.8,2.3,0,162.3,364.4
design,5,2,1.8,3.5,1,195.0,283.8
design,6,4,2.6,3.4,1,10.7,24.8
deploy,3,1,1.7,3.4,0,216.1,314.2
test,5,2,2.4,0.5,1,54.6,114.8
design,7,1,3.2,3.1,0,142.5,290.5
dev,5,5,3.0,3.2,0,109.8,254.3
deploy,5,1,2.1,2.9,0,182.7,309.5
design,5,2,3.5,3.1,0,99.1,187.0
dev,10,4,2.5,3.4,0,218.7,592.6
dev,10,5,2.4,2.1,1,185.3,516.4
test,3,2,0.6,2.3,1,165.5,291.3
deploy,1,5,4.0,0.9,0,201.1,325.7
deploy,5,3,0.9,1.8,1,191.0,483.7
test,9,1,1.3,2.8,0,18.6,44.3
test,1,3,0.7,3.2,1,104.7,191.0
deploy,3,2,2.7,1.3,1,233.4,434.5
deploy,4,4,1.3,1.0,1,40.2,95.8
design,1,5,1.1,2.8,1,186.9,356.9
design,1,1,0.8,0.5,0,243.9,279.9
test,8,5,0.9,1.1,0,22.5,63.6
design,2,2,2.5,0.6,1,173.7,238.3
dev,8,5,2.9,1.1,1,122.4,377.5
design,7,1,1.9,1.1,0,149.0,315.8
design,10,2,2.2,1.9,1,30.5,100.1
dev,10,5,2.9,1.9,0,20.3,65.2
test,2,4,0.6,3.6,0,170.0,303.1
dev,6,2,1.6,2.3,0,207.6,394.0
design,6,2,3.9,3.0,1,197.7,415.3
test,3,4,2.5,0.9,0,140.5,227.2
design,2,3,1.4,1.3,1,34.0,59.5
dev,1,1,2.3,3.0,0,175.1,151.5
dev,6,3,1.7,0.7,1,68.1,190.7
design,5,5,2.4,2.2,1,228.7,550.7
deploy,9,4,0.9,2.6,1,211.2,587.4
deploy,1,3,1.0,2.6,0,180.3,147.9
dev,7,2,1.0,0.6,0,237.7,487.1
dev,5,5,3.8,1.6,1,17.5,40.6
deploy,5,5,3.1,2.7,1,186.7,386.5
deploy,2,3,1.1,1.0,1,89.3,135.1
design,3,3,1.2,2.9,0,227.5,363.6
design,7,4,3.1,3.1,0,74.0,153.9
deploy,6,1,1.0,3.9,0,184.0,364.2
design,2,3,1.3,1.2,0,220.6,286.5
design,6,3,3.9,3.4,1,20.0,47.8
test,2,2,1.4,2.3,1,105.4,198.1
design,2,5,2.8,1.8,0,193.0,309.4
dev,2,1,3.9,0.9,0,119.2,165.0
design,3,2,1.8,3.1,1,74.1,135.5
design,2,4,0.6,1.3,0,62.8,96.7
deploy,4,4,1.4,1.8,0,41.6,75.6
dev,9,3,3.4,0.7,0,215.7,484.0
design,6,3,3.5,3.3,0,148.1,307.4
